CVE_ID,type_info,delta_t,Published_date,Severity
CVE-2021-38441,twitter,160.0,2022-05-05T17:15Z,CRITICAL
CVE-2020-1457,twitter,27.0,2020-07-27T19:15Z,HIGH
CVE-2017-1000367,twitter,6.0,2017-06-05T14:29Z,MEDIUM
CVE-2018-6084,twitter,295.0,2019-01-09T19:29Z,HIGH
CVE-2017-12860,twitter,21.0,2017-10-10T13:29Z,CRITICAL
CVE-2019-18534,twitter,68.0,2019-10-28T15:15Z,
CVE-2018-12055,github,1.0,2018-06-08T11:29Z,CRITICAL
CVE-2017-11631,github,5.0,2017-07-26T08:29Z,CRITICAL
CVE-2021-41326,github,49.0,2021-09-17T18:15Z,CRITICAL
CVE-2016-3383,twitter,3.0,2016-10-14T02:59Z,HIGH
CVE-2021-25009,twitter,427.0,2022-03-07T09:15Z,MEDIUM
CVE-2019-3016,redhat,14.0,2020-01-31T20:15Z,MEDIUM
CVE-2020-11446,twitter,1.0,2020-04-29T14:15Z,HIGH
CVE-2018-5141,twitter,19.0,2018-06-11T21:29Z,HIGH
CVE-2020-3859,twitter,30.0,2020-02-27T21:15Z,LOW
CVE-2020-20136,github,477.0,2020-12-14T19:15Z,CRITICAL
CVE-2021-39919,twitter,6.0,2021-12-13T16:15Z,MEDIUM
CVE-2016-7066,redhat,644.0,2018-09-11T14:29Z,HIGH
CVE-2016-7134,github,39.0,2016-09-12T01:59Z,CRITICAL
CVE-2018-5197,twitter,24.0,2019-01-02T14:29Z,HIGH
CVE-2018-17292,github,4.0,2018-09-21T07:29Z,MEDIUM
CVE-2017-5932,twitter,47.0,2017-03-27T15:59Z,HIGH
CVE-2018-10618,twitter,1.0,2018-08-01T18:29Z,CRITICAL
CVE-2017-11850,twitter,1.0,2017-11-15T03:29Z,LOW
CVE-2019-4566,twitter,3.0,2019-09-24T14:15Z,HIGH
CVE-2020-15093,github,182.0,2020-07-09T19:15Z,HIGH
CVE-2020-21819,github,493.0,2021-05-17T19:15Z,HIGH
CVE-2020-10064,twitter,452.0,2021-05-25T17:15Z,CRITICAL
CVE-2016-8624,redhat,644.0,2018-07-31T21:29Z,HIGH
CVE-2020-14855,twitter,215.0,2020-10-21T15:15Z,CRITICAL
CVE-2020-3861,twitter,30.0,2020-02-27T21:15Z,HIGH
CVE-2017-5448,twitter,390.0,2018-06-11T21:29Z,HIGH
CVE-2021-3881,github,26.0,2021-10-15T14:15Z,CRITICAL
CVE-2019-8515,twitter,267.0,2019-12-18T18:15Z,MEDIUM
CVE-2021-4072,github,17.0,2021-12-24T14:15Z,MEDIUM
CVE-2016-9377,twitter,92.0,2017-02-22T16:59Z,MEDIUM
CVE-2020-25766,github,3.0,2020-09-18T18:15Z,HIGH
CVE-2016-7426,twitter,53.0,2017-01-13T16:59Z,HIGH
CVE-2018-20328,github,17.0,2018-12-21T06:29Z,MEDIUM
CVE-2017-7829,twitter,168.0,2018-06-11T21:29Z,MEDIUM
CVE-2018-10362,github,2.0,2018-04-25T05:29Z,CRITICAL
CVE-2019-8706,twitter,363.0,2020-10-27T20:15Z,HIGH
CVE-2019-13300,github,24.0,2019-07-05T01:15Z,HIGH
CVE-2020-0539,twitter,41.0,2020-06-15T14:15Z,MEDIUM
CVE-2021-38345,twitter,1.0,2021-10-14T16:15Z,MEDIUM
CVE-2018-20687,twitter,3.0,2019-11-18T19:15Z,CRITICAL
CVE-2016-3698,github,27.0,2016-06-13T19:59Z,HIGH
CVE-2019-9365,twitter,30.0,2019-09-27T19:15Z,CRITICAL
CVE-2016-8737,twitter,210.0,2017-09-13T16:29Z,HIGH
CVE-2016-7522,github,451.0,2017-04-19T14:59Z,MEDIUM
CVE-2021-39289,twitter,3.0,2021-08-23T05:15Z,HIGH
CVE-2020-15103,github,12.0,2020-07-27T18:15Z,LOW
CVE-2019-9553,twitter,302.0,2019-12-31T17:15Z,MEDIUM
CVE-2021-22023,twitter,5.0,2021-08-30T18:15Z,HIGH
CVE-2018-11062,twitter,2.0,2018-11-02T22:29Z,HIGH
CVE-2018-7869,github,1.0,2018-03-08T18:29Z,HIGH
CVE-2019-18550,twitter,70.0,2019-10-28T15:15Z,
CVE-2020-7174,twitter,140.0,2020-10-19T18:15Z,HIGH
CVE-2020-6225,twitter,82.0,2020-04-14T20:15Z,HIGH
CVE-2021-23021,twitter,7.0,2021-06-01T13:15Z,MEDIUM
CVE-2020-15170,github,33.0,2020-09-10T19:15Z,HIGH
CVE-2016-3735,github,2103.0,2022-01-28T20:15Z,HIGH
CVE-2017-1000062,twitter,3.0,2017-07-17T13:18Z,HIGH
CVE-2018-1000217,github,172.0,2018-08-20T20:29Z,CRITICAL
CVE-2017-16358,github,5.0,2017-11-01T17:29Z,HIGH
CVE-2021-22990,twitter,21.0,2021-03-31T17:15Z,HIGH
CVE-2018-18623,github,761.0,2020-06-02T17:15Z,MEDIUM
CVE-2021-0013,twitter,2.0,2021-11-17T20:15Z,HIGH
CVE-2020-4547,twitter,90.0,2021-01-27T17:15Z,MEDIUM
CVE-2020-24149,twitter,86.0,2021-07-07T14:15Z,HIGH
CVE-2018-10571,github,39.0,2018-04-30T17:29Z,MEDIUM
CVE-2017-1000253,twitter,9.0,2017-10-05T01:29Z,HIGH
CVE-2017-6395,github,2.0,2017-03-02T06:59Z,MEDIUM
CVE-2019-8612,twitter,455.0,2020-10-27T20:15Z,MEDIUM
CVE-2019-6851,twitter,18.0,2019-10-29T19:15Z,HIGH
CVE-2017-2924,twitter,223.0,2018-04-24T19:29Z,HIGH
CVE-2020-27018,twitter,3.0,2020-11-09T23:15Z,MEDIUM
CVE-2021-4178,github,251.0,2022-08-24T16:15Z,MEDIUM
CVE-2018-16664,github,60.0,2018-09-07T17:29Z,HIGH
CVE-2021-45834,github,227.0,2022-03-18T11:15Z,CRITICAL
